#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.
1,Nightcall,Lips,2013-12-11,127,47,92,-8,74,3:47,4,25
2,Écho,Lili Poe,2016-09-30,170,67,50,-7,13,3:41,6,36
3,Lead Us Home,Hydrogen Sea,2016-09-16,100,63,75,-8,67,3:04,12,15
4,Meins sollte Meins sein,Barbara Morgenstern,2015-09-25,120,29,59,-15,8,5:41,94,5
5,Familiar,Agnes Obel,2016-10-21,137,41,55,-12,23,3:56,92,52
6,The Hunter,Marnie,2013-06-15,118,84,56,-7,49,4:13,6,31
7,Easier Said Than Done,Morcheeba,2010,115,36,71,-13,33,3:41,25,26
8,Helicopter,Oh Land,2011-06-13,90,47,62,-9,48,3:30,36,18
9,In Your Dreams,Dark Dark Dark,2011-03-07,154,54,54,-11,51,3:20,80,40
10,Jmy attendais pas,Clea Vincent,2016-06-15,120,69,77,-8,62,4:05,31,30
11,As Far as I Know,Pethrol,2016-10-21,83,64,69,-9,57,3:21,4,30
12,Femme,Le Couleur,2013-04-25,118,57,79,-9,75,3:56,0,38
13,Mon autre,Juniore,2016-05-20,165,91,58,-6,64,3:41,0,24
14,Avril,Burning Peacocks,2014-10-13,120,88,64,-8,88,3:23,0,26
15,Went to War,Amason,2015-01-01,125,54,84,-11,75,3:05,43,43
16,Fall (feat. Cuushe),Populous,2014-09-29,180,63,53,-11,16,4:33,3,33
17,Ici & Maintenant (Here & Now),Yelle,2017-02-03,120,68,84,-6,54,3:50,0,38
18,Soulevant,Clea Vincent,2016-10-07,141,74,67,-5,82,2:55,23,10
19,Private Road,Bent,2009-06-29,126,64,57,-9,25,4:00,2,32
20,Those Ships,Pale,2012-01-30,92,70,25,-12,9,5:34,1,18
21,Surprise Party,Grand Blanc,2015-12-18,176,74,49,-7,52,4:49,2,4
22,The Player,Kid Francescoli,2017-01-13,108,77,65,-6,41,4:04,3,39
23,Call Me Naughty,Batuk,2016-04-01,123,44,92,-8,56,4:47,23,32
24,Ame mélodique - Skydancers Remix,Nach,2015-12-07,127,74,59,-6,20,3:09,4,24
25,Palm Trees - Radio Edit,Baxter Dury,2014-08-25,92,62,70,-8,87,3:37,1,17
26,I Love My Man,Bent,2009-06-29,144,67,61,-10,40,5:50,0,23
27,My Name Is Trouble,Keren Ann,2010-11-05,115,61,58,-10,42,4:13,10,15
28,One Evening,Feist,2004-01-01,112,44,94,-8,64,3:35,15,16
29,Camino del Sol,Antena,1982-01-01,168,48,52,-16,56,3:43,72,35
30,Dimanche (feat. Santana),Claap!,2014-05-05,94,33,80,-14,31,4:34,2,38
31,The Closest Ghost,Jean du Voyage,2014-01-13,125,47,89,-12,54,3:36,29,36
32,Fade To Grey,Visage,1993-01-01,113,48,60,-17,52,3:51,0,45
33,When We Dance,The Colorist,2016-12-09,126,43,68,-10,25,3:12,79,35
